"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 19 12:50:31 GMT 2025","Sat Jul 19 12:50:35 GMT 2025","4324","SequentialSuite","Functional Tests","tests.AffiliateProgramsTest","tests.AffiliateProgramsTest","testRedirectToGambling","testRedirectToGambling",""
"passed","Sat Jul 19 12:49:43 GMT 2025","Sat Jul 19 12:49:47 GMT 2025","4478","SequentialSuite","Functional Tests","tests.HomePageTest","tests.HomePageTest","AdvertisersLinkClickNavigateToAdvertisersBlock","Advertisers link goes to anchor section","Check that the 'Advertisers' link in the header scrolls to the anchor block"
"passed","Sat Jul 19 12:50:08 GMT 2025","Sat Jul 19 12:50:12 GMT 2025","4171","SequentialSuite","Functional Tests","tests.AffiliateProgramsTest","tests.AffiliateProgramsTest","testRedirectToBetting","testRedirectToBetting",""
"passed","Sat Jul 19 12:50:15 GMT 2025","Sat Jul 19 12:50:19 GMT 2025","3860","SequentialSuite","Functional Tests","tests.AffiliateProgramsTest","tests.AffiliateProgramsTest","testRedirectToContacts","testRedirectToContacts",""
"passed","Sat Jul 19 12:50:08 GMT 2025","Sat Jul 19 12:50:10 GMT 2025","1693","SequentialSuite","Functional Tests","tests.HomePageTest","tests.HomePageTest","EnterLinkNavigateToAuthorisationPage","Enter link opens correct page","User is redirected to Authorisation page via header link"
"passed","Sat Jul 19 12:50:02 GMT 2025","Sat Jul 19 12:50:04 GMT 2025","2517","SequentialSuite","Functional Tests","tests.AffiliateProgramsTest","tests.AffiliateProgramsTest","testPlaceholderSearchText","testPlaceholderSearchText",""
"passed","Sat Jul 19 12:50:14 GMT 2025","Sat Jul 19 12:50:15 GMT 2025","285","SequentialSuite","Functional Tests","tests.HomePageTest","tests.HomePageTest","LanguageBtnOpensLanguageDropdownMenu","Clicking language button opens Dropdown language menu","Verify that clicking the language button in the header opens the language dropdown menu"
"passed","Sat Jul 19 12:50:23 GMT 2025","Sat Jul 19 12:50:27 GMT 2025","4020","SequentialSuite","Functional Tests","tests.AffiliateProgramsTest","tests.AffiliateProgramsTest","testRedirectToCybersport","testRedirectToCybersport",""
"passed","Sat Jul 19 12:50:54 GMT 2025","Sat Jul 19 12:50:57 GMT 2025","2378","SequentialSuite","Functional Tests","tests.AffiliateProgramsTest","tests.AffiliateProgramsTest","testTitleText","testTitleText",""
"passed","Sat Jul 19 12:50:18 GMT 2025","Sat Jul 19 12:50:21 GMT 2025","3129","SequentialSuite","Functional Tests","tests.HomePageTest","tests.HomePageTest","LanguageIconClickInDropdownChangesPageLanguage","Clicking language icon in Dropdown menu changes page language","Verify that clicking the language icon in the dropdown changes the site language"
"passed","Sat Jul 19 12:50:38 GMT 2025","Sat Jul 19 12:50:42 GMT 2025","3974","SequentialSuite","Functional Tests","tests.HomePageTest","tests.HomePageTest","WhoWeAreLinkIsClickableAndNavigateToHomePage","Clicking 'Who we are' scrolls to expected section","Verify that clicking the 'Who we are' link scrolls the page to the correct section"
