"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 15 20:53:55 GMT 2025","Tue Jul 15 20:53:58 GMT 2025","3664","SequentialSuite","Functional Tests","tests.HomePageTest","tests.HomePageTest","headerLogoIsClickableAndNavigateToHomePage","Clicking logo in header returns to homepage","Verify that clicking the logo in the header navigates back to the homepage from another page"
"passed","Tue Jul 15 20:53:21 GMT 2025","Tue Jul 15 20:53:25 GMT 2025","4253","SequentialSuite","Functional Tests","tests.AffiliateProgramsTest","tests.AffiliateProgramsTest","testRedirectToBetting","testRedirectToBetting",""
"passed","Tue Jul 15 20:53:30 GMT 2025","Tue Jul 15 20:53:34 GMT 2025","4177","SequentialSuite","Functional Tests","tests.AffiliateProgramsTest","tests.AffiliateProgramsTest","testRedirectToContacts","testRedirectToContacts",""
"passed","Tue Jul 15 20:54:03 GMT 2025","Tue Jul 15 20:54:07 GMT 2025","3800","SequentialSuite","Functional Tests","tests.AffiliateProgramsTest","tests.AffiliateProgramsTest","testRedirectToPoker","testRedirectToPoker",""
"passed","Tue Jul 15 20:53:55 GMT 2025","Tue Jul 15 20:53:59 GMT 2025","4028","SequentialSuite","Functional Tests","tests.AffiliateProgramsTest","tests.AffiliateProgramsTest","testRedirectToLoto","testRedirectToLoto",""
"passed","Tue Jul 15 20:53:38 GMT 2025","Tue Jul 15 20:53:42 GMT 2025","3957","SequentialSuite","Functional Tests","tests.AffiliateProgramsTest","tests.AffiliateProgramsTest","testRedirectToCybersport","testRedirectToCybersport",""
"passed","Tue Jul 15 20:52:49 GMT 2025","Tue Jul 15 20:52:52 GMT 2025","2866","SequentialSuite","Functional Tests","tests.AffiliateProgramsTest","tests.AffiliateProgramsTest","testCategoryDefaultText","testCategoryDefaultText",""
"passed","Tue Jul 15 20:53:47 GMT 2025","Tue Jul 15 20:53:51 GMT 2025","4702","SequentialSuite","Functional Tests","tests.AffiliateProgramsTest","tests.AffiliateProgramsTest","testRedirectToGambling","testRedirectToGambling",""
"passed","Tue Jul 15 20:53:47 GMT 2025","Tue Jul 15 20:53:51 GMT 2025","4044","SequentialSuite","Functional Tests","tests.HomePageTest","tests.HomePageTest","WhoWeAreLinkIsClickableAndNavigateToHomePage","Clicking 'Who we are' scrolls to expected section","Verify that clicking the 'Who we are' link scrolls the page to the correct section"
"passed","Tue Jul 15 20:53:12 GMT 2025","Tue Jul 15 20:53:13 GMT 2025","1593","SequentialSuite","Functional Tests","tests.HomePageTest","tests.HomePageTest","ContactsLinkNavigateToAffiliateProgramsPage","Contacts link opens correct page","User is redirected to Contacts page via header link"
"passed","Tue Jul 15 20:54:11 GMT 2025","Tue Jul 15 20:54:13 GMT 2025","2614","SequentialSuite","Functional Tests","tests.AffiliateProgramsTest","tests.AffiliateProgramsTest","testTitleText","testTitleText",""
"passed","Tue Jul 15 20:52:58 GMT 2025","Tue Jul 15 20:53:01 GMT 2025","2779","SequentialSuite","Functional Tests","tests.AffiliateProgramsTest","tests.AffiliateProgramsTest","testGeoDefaultText","testGeoDefaultText",""
"passed","Tue Jul 15 20:53:06 GMT 2025","Tue Jul 15 20:53:07 GMT 2025","1773","SequentialSuite","Functional Tests","tests.HomePageTest","tests.HomePageTest","BlogLinkNavigateToBlogPage","Blog link opens correct page","User is redirected to Blog page via header link"
"passed","Tue Jul 15 20:53:35 GMT 2025","Tue Jul 15 20:53:36 GMT 2025","1705","SequentialSuite","Functional Tests","tests.HomePageTest","tests.HomePageTest","RegisterLinkNavigateToRegistrationPage","Register link opens correct page","User is redirected to Registration page via header link"
"passed","Tue Jul 15 20:53:12 GMT 2025","Tue Jul 15 20:53:17 GMT 2025","4317","SequentialSuite","Functional Tests","tests.AffiliateProgramsTest","tests.AffiliateProgramsTest","testPlaceholderSearchText","testPlaceholderSearchText",""
